558340	DSName	XSec	FiltEff	kFactor
515116	MGPy8EG_A14N23LO_HNL12p5_ctau10_muee	10885000000	1	1
515117	MGPy8EG_A14N23LO_HNL12p5_ctau100_muee	108850000000	1	1
515118	MGPy8EG_A14N23LO_HNL15_ctau0p1_muee	269350000	1	1
515119	MGPy8EG_A14N23LO_HNL15_ctau1_muee	2693500000	1	1
515120	MGPy8EG_A14N23LO_HNL15_ctau10_muee	26935000000	1	1
515121	MGPy8EG_A14N23LO_HNL15_ctau100_muee	269350000000	1	1
515122	MGPy8EG_A14N23LO_HNL17p5_ctau0p1_muee	570580000	1	1
515123	MGPy8EG_A14N23LO_HNL17p5_ctau1_muee	5705500000	1	1
515124	MGPy8EG_A14N23LO_HNL17p5_ctau10_muee	57055000000	1	1
515125	MGPy8EG_A14N23LO_HNL17p5_ctau100_muee	570580000000	1	1
515126	MGPy8EG_A14N23LO_HNL20_ctau0p1_muee	1095500000	1	1
515127	MGPy8EG_A14N23LO_HNL20_ctau1_muee	10955000000	1	1
515128	MGPy8EG_A14N23LO_HNL20_ctau10_muee	109550000000	1	1
515129	MGPy8EG_A14N23LO_HNL20_ctau100_muee	1095500000000	1	1
515130	MGPy8EG_A14N23LO_HNL1_ctau0p1_eee	368.38	1	1
515131	MGPy8EG_A14N23LO_HNL1_ctau1_eee	3683.8	1	1
515132	MGPy8EG_A14N23LO_HNL1_ctau10_eee	36838	1	1
515133	MGPy8EG_A14N23LO_HNL1_ctau100_eee	368400	1	1
515134	MGPy8EG_A14N23LO_HNL1_ctau1000_eee	3684300	1	1
515135	MGPy8EG_A14N23LO_HNL2_ctau0p1_eee	11793	1	1
